query_name,matched_name,matched_smiles,matched_inchikey,matched_formula,cosine_score,matched_peaks,matched_fragments,precursor_mz,library_precursor_mz,precursor_ppm_diff,adduct,matched_ontology,isotope_score,source_method,source_database,rank
Unknown (13.82_268.0722n),Formononetin; PlaSMA ID-1199,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.9395,2,226.0589/226.0618(Δ0.0029Da); 269.0769/269.0815(Δ0.0046Da),269.0795,269.08084,-4.98,[M+H]+,,,matchMS,Drug,2
Unknown (13.82_268.0722n),Formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.9395,2,226.0589/226.0618(Δ0.0029Da); 269.0769/269.0815(Δ0.0046Da),269.0795,269.08084,-4.98,[M+H]+,,,matchMS,Drug,3
Unknown (13.82_268.0722n),Formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.9394,2,226.0589/226.0618(Δ0.0029Da); 269.0769/269.0815(Δ0.0046Da),269.0795,269.08084,-4.98,[M+H]+,,,matchMS,Drug,4
Unknown (13.82_268.0722n),Formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.937,2,226.0589/226.0596(Δ0.0007Da); 269.0769/269.0808(Δ0.0039Da),269.0795,269.0808353,-4.96,[M+H]+,,,matchMS,Drug,5
Unknown (17.75_600.4639m/z),nan,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,ONJQDTZCDSESIW-UHFFFAOYSA-N,C30H62O10,0.5392,5,89.0614/89.0596(Δ0.0018Da); 107.0842/107.0704(Δ0.0138Da); 133.089/133.0859(Δ0.0031Da); 583.4259/583.4415(Δ0.0156Da); 600.4631/600.468(Δ0.0049Da),600.4639,600.468,-6.83,[M+NH4]+,,,matchMS,Drug,1
Unknown (19.61_760.5760m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.9136,5,86.0966/86.0961(Δ0.0005Da); 104.1072/104.1067(Δ0.0005Da); 125.0007/124.9997(Δ0.0010Da); 184.0748/184.0734(Δ0.0014Da); 760.5776/760.5805(Δ0.0029Da),760.576,760.582,-7.89,[M+H]+,,,matchMS,Drug,1
Unknown (19.81_636.2935n),nan,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,PGBHMTALBVVCIT-UHFFFAOYSA-N,C23H46N6O13,0.9811,10,83.05/83.0494(Δ0.0006Da); 147.1176/147.1169(Δ0.0007Da); 163.0138/163.0157(Δ0.0019Da); 239.0462/239.0467(Δ0.0005Da); 337.0218/337.0233(Δ0.0015Da); 393.0831/393.0858(Δ0.0027Da); 469.1151/469.1171(Δ0.0020Da); 525.1782/525.18(Δ0.0018Da); 581.238/581.2426(Δ0.0046Da); 637.3021/637.3051(Δ0.0030Da),637.3007,637.302,-2.04,[M+Na]+,,,matchMS,Drug,1
Unknown (19.81_636.2935n),nan,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,PGBHMTALBVVCIT-UHFFFAOYSA-N,C23H46N6O13,0.699,11,83.05/83.0495(Δ0.0005Da); 147.1176/147.1168(Δ0.0008Da); 161.1328/161.1329(Δ0.0001Da); 163.0138/163.0154(Δ0.0016Da); 239.0462/239.0467(Δ0.0005Da); 260.9915/260.9912(Δ0.0003Da); 337.0218/337.0233(Δ0.0015Da); 393.0831/393.0862(Δ0.0031Da); 525.1782/525.1805(Δ0.0023Da); 581.238/581.2425(Δ0.0045Da); 637.3021/637.305(Δ0.0029Da),637.3007,637.302,-2.04,[M+Na]+,,,matchMS,Drug,2
Unknown (19.95_760.5767m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.9595,4,86.0966/86.0961(Δ0.0005Da); 104.1073/104.1067(Δ0.0006Da); 125.0002/124.9997(Δ0.0005Da); 184.0766/184.0734(Δ0.0032Da),760.5767,760.582,-6.97,[M+H]+,,,matchMS,Drug,1
Unknown (20.34_760.5780m/z),nan,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,RRVPPYNAZJRZFR-UHFFFAOYSA-N,C42H82NO8P,0.5222,6,86.0966/86.0961(Δ0.0005Da); 87.099/87.0996(Δ0.0006Da); 104.1068/104.1067(Δ0.0001Da); 184.0762/184.0734(Δ0.0028Da); 185.0767/185.0765(Δ0.0002Da); 760.58/760.5805(Δ0.0005Da),760.578,760.582,-5.26,[M+H]+,,,matchMS,Drug,1
