query_name,matched_name,matched_smiles,matched_inchikey,matched_formula,cosine_score,matched_peaks,precursor_mz,library_precursor_mz,precursor_ppm_diff,adduct,library_ccs,matched_ontology,matched_fragments,source_method,source_database,rank
Unknown (11.09_269.0801m/z),nan,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.5282,7,269.0801,269.081,-3.34,[M+H]+,,,137.0236/137.0231(Δ0.0005Da); 163.0462/163.0388(Δ0.0074Da); 226.0618/226.0619(Δ0.0001Da); 237.0543/237.0544(Δ0.0001Da); 253.0497/253.0492(Δ0.0005Da); 254.0577/254.057(Δ0.0007Da); 269.0814/269.0804(Δ0.0010Da),DreaMS,Drug,3
Unknown (11.09_269.0801m/z),nan,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.5252,6,269.0801,269.081,-3.34,[M+H]+,,,137.0236/137.0231(Δ0.0005Da); 226.0618/226.062(Δ0.0002Da); 237.0543/237.0543(Δ0.0000Da); 253.0497/253.049(Δ0.0007Da); 254.0577/254.057(Δ0.0007Da); 269.0814/269.0804(Δ0.0010Da),DreaMS,Drug,4
Unknown (11.09_269.0801m/z),nan,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,0.5243,13,269.0801,269.081,-3.34,[M+H]+,,,105.0344/105.07(Δ0.0356Da); 108.0207/108.0201(Δ0.0006Da); 137.0236/137.023(Δ0.0006Da); 153.0702/153.0699(Δ0.0003Da); 157.0296/157.0662(Δ0.0366Da); 163.0462/163.0392(Δ0.0070Da); 165.0706/165.07(Δ0.0006Da); 169.0644/169.0647(Δ0.0003Da); 226.0618/226.0623(Δ0.0005Da); 237.0543/237.0545(Δ0.0002Da); 253.0497/253.0495(Δ0.0002Da); 254.0577/254.0572(Δ0.0005Da); 269.0814/269.0809(Δ0.0005Da),DreaMS,Drug,5
Unknown (11.67_344.0909n),Eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.5293,3,345.0982,345.09688,3.82,[M+H]+,,,315.0484/315.0502(Δ0.0018Da); 330.0725/330.0733(Δ0.0008Da); 345.0967/345.0968(Δ0.0001Da),DreaMS,Drug,1
Unknown (11.67_344.0909n),nan,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,DRRWBCNQOKKKOL-UHFFFAOYSA-N,C18H16O7,0.5289,3,345.0982,345.097,3.48,[M+H]+,,,315.0484/315.0502(Δ0.0018Da); 330.0725/330.0733(Δ0.0008Da); 345.0967/345.0968(Δ0.0001Da),DreaMS,Drug,2
Unknown (11.70_369.1317m/z),Curcumin,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.7755,8,369.1317,369.13395836,-6.12,[M+H]+,,,117.031/117.0287(Δ0.0023Da); 145.0295/145.0269(Δ0.0026Da); 149.0576/149.0584(Δ0.0008Da); 161.0596/161.0593(Δ0.0003Da); 175.0759/175.0753(Δ0.0006Da); 177.0564/177.055(Δ0.0014Da); 178.0569/178.0584(Δ0.0015Da); 253.086/253.0874(Δ0.0014Da),DreaMS,Drug,1
Unknown (11.70_369.1317m/z),nan,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.7554,8,369.1317,369.134,-6.23,[M+H]+,,,89.0374/89.0383(Δ0.0009Da); 117.031/117.0331(Δ0.0021Da); 145.0295/145.0281(Δ0.0014Da); 149.0576/149.0595(Δ0.0019Da); 161.0596/161.0594(Δ0.0002Da); 175.0759/175.0751(Δ0.0008Da); 177.0564/177.0544(Δ0.0020Da); 253.086/253.085(Δ0.0010Da),DreaMS,Drug,2
Unknown (11.70_369.1317m/z),nan,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.7455,9,369.1317,369.133,-3.52,[M+H]+,,,89.0374/89.0386(Δ0.0012Da); 117.031/117.0334(Δ0.0024Da); 145.0295/145.0284(Δ0.0011Da); 149.0576/149.0597(Δ0.0021Da); 161.0596/161.0597(Δ0.0001Da); 175.0759/175.0754(Δ0.0005Da); 177.0564/177.0546(Δ0.0018Da); 178.0569/178.0579(Δ0.0010Da); 253.086/253.0858(Δ0.0002Da),DreaMS,Drug,3
Unknown (11.70_369.1317m/z),Curcumin,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.7432,9,369.1317,369.1332702636719,-4.25,[M+H]+,,,89.0374/89.0386(Δ0.0012Da); 117.031/117.0334(Δ0.0024Da); 145.0295/145.0284(Δ0.0011Da); 149.0576/149.0597(Δ0.0021Da); 161.0596/161.0597(Δ0.0001Da); 175.0759/175.0754(Δ0.0005Da); 177.0564/177.0546(Δ0.0018Da); 178.0569/178.0579(Δ0.0010Da); 253.086/253.0858(Δ0.0002Da),DreaMS,Drug,4
Unknown (11.70_369.1317m/z),nan,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-UHFFFAOYSA-N,C21H20O6,0.7388,8,369.1317,369.133,-3.52,[M+H]+,,,117.031/117.0301(Δ0.0009Da); 145.0295/145.0272(Δ0.0023Da); 149.0576/149.0587(Δ0.0011Da); 161.0596/161.0592(Δ0.0004Da); 175.0759/175.0753(Δ0.0006Da); 177.0564/177.0548(Δ0.0016Da); 178.0569/178.058(Δ0.0011Da); 253.086/253.0866(Δ0.0006Da),DreaMS,Drug,5
Unknown (14.70_313.0726m/z),aflatoxin B1,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,OQIQSTLJSLGHID-UHFFFAOYSA-N,C17H12O6,0.5865,8,313.0726,313.071,5.11,[M+H]+,,,187.0747/187.0747(Δ0.0000Da); 242.0553/242.0565(Δ0.0012Da); 257.081/257.081(Δ0.0000Da); 270.0532/270.0519(Δ0.0013Da); 284.0564/284.0687(Δ0.0123Da); 285.0762/285.0729(Δ0.0033Da); 298.0479/298.0455(Δ0.0024Da); 313.0728/313.0698(Δ0.0030Da),DreaMS,Drug,1
Unknown (17.04_524.3668m/z),nan,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,HVAUUPRFYPCOCA-UHFFFAOYSA-N,C26H54NO7P,0.614,2,524.3668,524.371,-8.01,[M+H]+,,,104.1068/104.1069(Δ0.0001Da); 124.9976/124.9998(Δ0.0022Da),DreaMS,Drug,1
Unknown (17.04_524.3668m/z),nan,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,HVAUUPRFYPCOCA-UHFFFAOYSA-N,C26H54NO7P,0.5965,3,524.3668,524.371,-8.01,[M+H]+,,,104.1068/104.1068(Δ0.0000Da); 124.9976/124.9998(Δ0.0022Da); 524.3649/524.3741(Δ0.0092Da),DreaMS,Drug,2
Unknown (17.04_524.3668m/z),nan,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,HVAUUPRFYPCOCA-UHFFFAOYSA-N,C26H54NO7P,0.5744,3,524.3668,524.371,-8.01,[M+H]+,,,104.1068/104.1069(Δ0.0001Da); 124.9976/124.9998(Δ0.0022Da); 524.3649/524.3718(Δ0.0069Da),DreaMS,Drug,3
Unknown (17.04_524.3668m/z),nan,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,HVAUUPRFYPCOCA-UHFFFAOYSA-N,C26H54NO7P,0.5657,4,524.3668,524.371,-8.01,[M+H]+,,,104.1068/104.107(Δ0.0002Da); 124.9976/124.9999(Δ0.0023Da); 166.0603/166.0631(Δ0.0028Da); 524.3649/524.3741(Δ0.0092Da),DreaMS,Drug,4
Unknown (17.04_524.3668m/z),nan,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,HVAUUPRFYPCOCA-UHFFFAOYSA-N,C26H54NO7P,0.5627,4,524.3668,524.372,-9.92,[M+H]+,,,104.1068/104.1072(Δ0.0004Da); 124.9976/125.0001(Δ0.0025Da); 166.0603/166.0633(Δ0.0030Da); 524.3649/524.3734(Δ0.0085Da),DreaMS,Drug,5
